      Tag      VR Length Value
(0008, 0005) | CS | O | ISO_IR 100
(0008, 0008) | CS | 22 | ['ORIGINAL', 'PRIMARY', 'AXIAL']
(0008, 0012) | DA | 8 | 20040119
(0008, 0013) | TM | 6 | 072731
(0008, 0014) | UI | 18 | 1.3.6.1.4.1.5962.3
(0008, 0016) | UI | 26 | 1.2.840.10008.5.1.4.1.1.2
(0008, 0018) | UI | 3 | 1.3.6.1.4.1.5962.1.1.1.1.1.20040119072730.12322
(0008, 0020) | DA | 8 | 20040119
(0008, 0021) | DA | 8 | 19970430
(0008, 0022) | DA | 8 | 19970430
(0008, 0023) | DA | 8 | 19970430
(0008, 0030) | TM | 6 | 072730
(0008, 0031) | TM | 6 | 112749
(0008, 0032) | TM | 6 | 112936
(0008, 0033) | TM | 6 | 113008
(0008, 0050) | SH | 0 | 
(0008, 0060) | CS | 2 | CT
(0008, 0070) | LO | 18 | GE MEDICAL SYSTEMS
(0008, 0080) | LO | 18 | JFK IMAGING CENTER
(0008, 0090) | PN | 0 | 
(0008, 0201) | SH | 6 | -0500
(0008, 1010) | SH | 8 | CT01_OC0
(0008, 1030) | LO | 4 | e+1
(0008, 1090) | LO | 8 | RHAPSODE
(0009, 0010) | LO | 12 | GEMS_IDEN_01
(0009, 1001) | LO | 14 | GE_GENESIS_FF
(0009, 1002) | SH | 4 | CT01
(0009, 1004) | SH | 12 | HiSpeed CT/i
(0009, 1027) | SL | 4 | 862399669
(0009, 1030) | SH | 0 | 
(0009, 1031) | SH | 0 | 
(0009, 10e6) | SH | 2 | 05
(0009, 10e7) | UL | 4 | 973283917
(0009, 10e9) | SL | 4 | 862399669
(0010, 0010) | PN | 22 | CompressedSamples^CT1
(0010, 0020) | LO | 4 | 1CT1
(0010, 0030) | DA | 0 | 
(0010, 0040) | CS | 2 | O
(0010, 1002) SQ 72 Unknown | <Large value not displayed>
(0010, 1010) | AS | 4 | 000Y
(0010, 1030) | DS | 8 | 0.000000
(0010, 21b0) | LT | 0 | 
(0011, 0010) | LO | 12 | GEMS_PATI_01
(0011, 1010) | SS | 2 | 0
(0018, 0010) | LO | 14 | ISOVUE300/100
(0018, 0022) | CS | 12 | HELICAL MODE
(0018, 0050) | DS | 8 | 5.000000
(0018, 0060) | DS | 4 | 120
(0018, 0088) | DS | 8 | 5.000000
(0018, 0090) | DS | 10 | 480.000000
(0018, 1020) | LO | 2 | 05
(0018, 1040) | LO | 2 | IV
(0018, 1100) | DS | 10 | 338.671600
(0018, 1110) | DS | 16 | 1099.3100585938
(0018, 1111) | DS | 10 | 630.000000
(0018, 1120) | DS | 8 | 0.000000
(0018, 1130) | DS | 10 | 133.699997
(0018, 1150) | IS | 4 | 1601
(0018, 1151) | IS | 4 | 170
(0018, 1152) | IS | 4 | 170
(0018, 1160) | SH | 16 | LARGE BOWTIE FIL
(0018, 1190) | DS | 8 | 0.700000
(0018, 1210) | SH | 8 | STANDARD
(0018, 5100) | CS | 4 | FFS
(0019, 0010) | LO | 12 | GEMS_ACQU_01
(0019, 1002) | SL | 4 | 912
(0019, 1003) | DS | 10 | 373.750000
(0019, 1004) | DS | 8 | 1.016600
(0019, 100f) | DS | 10 | 955.799988
(0019, 1011) | SS | 2 | 2
(0019, 1013) | SS | 2 | 0
(0019, 1014) | SS | 2 | 0
(0019, 1015) | SS | 2 | 0
(0019, 1016) | SS | 2 | 0
(0019, 1017) | SS | 2 | 2
(0019, 1018) | LO | 2 | S
(0019, 1019) | DS | 8 | 7.791870
(0019, 101a) | LO | 2 | I
(0019, 101b) | DS | 12 | -320.197968
(0019, 101e) | DS | 8 | 0.000000
(0019, 1023) | DS | 8 | 5.000000
(0019, 1024) | DS | 10 | 17.784578
(0019, 1025) | SS | 2 | 1
(0019, 1026) | SL | 4 | 0
(0019, 1027) | DS | 8 | 1.000000
(0019, 102a) | DS | 10 | 178.079926
(0019, 102b) | DS | 12 | 3994.299316
(0019, 102c) | SL | 4 | 10431
(0019, 102e) | DS | 12 | -718.079956
(0019, 102f) | DS | 10 | 984.000000
(0019, 1039) | SS | 2 | 16
(0019, 1040) | SS | 2 | 0
(0019, 1041) | SS | 2 | 1
(0019, 1042) | SS | 2 | 0
(0019, 1043) | SS | 2 | 0
(0019, 1044) | DS | 8 | 1.000000
(0019, 1047) | SS | 2 | 1
(0019, 104a) | SS | 2 | 6
(0019, 104b) | SL | 4 | 10431
(0019, 1052) | SS | 2 | 1
(0019, 1057) | SS | 2 | -95
(0019, 1058) | SS | 2 | 0
(0019, 105e) | SL | 4 | 763
(0019, 105f) | SL | 4 | 1
(0019, 1060) | SL | 4 | 1969
(0019, 1061) | SL | 4 | 1576
(0019, 1062) | SL | 4 | 1
(0019, 106a) | SS | 2 | 4
(0019, 106b) | SS | 2 | 852
(0019, 1070) | SS | 2 | 1
(0019, 1071) | SS | 2 | 0
(0019, 1072) | DS | 8 | 0.000000
(0019, 1073) | DS | 8 | 0.000000
(0019, 1074) | DS | 8 | 0.000000
(0019, 1075) | DS | 8 | 0.000000
(0019, 1076) | DS | 8 | 0.000000
(0019, 10da) | SS | 2 | 0
(0019, 10db) | DS | 8 | 0.000000
(0019, 10dc) | SS | 2 | 1
(0019, 10dd) | SS | 2 | 1
(0019, 10de) | DS | 8 | 0.000000
(0020, 000d) | UI | 44 | 1.3.6.1.4.1.5962.1.2.1.20040119072730.12322
(0020, 000e) | UI | 46 | 1.3.6.1.4.1.5962.1.3.1.1.20040119072730.12322
(0020, 0010) | SH | 4 | 1CT1
(0020, 0011) | IS | 2 | 1
(0020, 0012) | IS | 2 | 2
(0020, 0013) | IS | 2 | 1
(0020, 0032) | DS | 34 | [-158.135803, -179.035797, -75.699997]
(0020, 0037) | DS | 54 | [1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000]
(0020, 0052) | UI | 46 | 1.3.6.1.4.1.5962.1.4.1.1.20040119072730.12322
(0020, 0060) | CS | 0 | 
(0020, 1040) | LO | 2 | SN
(0020, 1041) | DS | 14 | -77.2040634155
(0020, 4000) | LT | 12 | Uncompressed
(0021, 0010) | LO | 12 | GEMS_RELA_01
(0021, 1003) | SS | 2 | 2
(0021, 1005) | SH | 2 | 05
(0021, 1007) | UL | 4 | 1605775145
(0021, 1015) | US | 2 | 24078
(0021, 1016) | SS | 2 | 2
(0021, 1018) | SH | 2 | 05
(0021, 1019) | UL | 4 | 750675506
(0021, 1037) | SS | 2 | 16
(0021, 104a) | LO | 0 | 
(0021, 1090) | SS | 2 | 7400
(0021, 1091) | SS | 2 | 0
(0021, 1092) | FL | 4 | 0.0
(0021, 1093) | FL | 4 | 0.0
(0023, 0010) | LO | 12 | GEMS_STDY_01
(0023, 1070) | FD | 8 | 862399761.111079
(0023, 1074) | SL | 4 | 1
(0023, 107d) | SS | 2 | 0
(0025, 0010) | LO | 12 | GEMS_SERS_01
(0025, 1006) | SS | 2 | 0
(0025, 1007) | SL | 4 | 44
(0025, 1010) | SL | 4 | 0
(0025, 1011) | SS | 2 | 0
(0025, 1017) | SL | 4 | 0
(0025, 1018) | SL | 4 | 0
(0025, 1019) | SL | 4 | 4
(0025, 101a) | SH | 0 | 
(0027, 0010) | LO | 12 | GEMS_IMAG_01
(0027, 1006) | SL | 4 | 1
(0027, 1010) | SS | 2 | 0
(0027, 101c) | SL | 4 | 150
(0027, 101d) | SS | 2 | 1
(0027, 101e) | SL | 4 | 24
(0027, 101f) | SL | 4 | 129
(0027, 1020) | SS | 2 | 1
(0027, 1030) | SH | 0 | 
(0027, 1035) | SS | 2 | 2
(0027, 1040) | SH | 2 | I
(0027, 1041) | FL | 4 | -77.20406341552734
(0027, 1042) | FL | 4 | -11.199999809265137
(0027, 1043) | FL | 4 | 9.699999809265137
(0027, 1044) | FL | 4 | -75.69999694824219
(0027, 1045) | FL | 4 | 0.0
(0027, 1046) | FL | 4 | 0.0
(0027, 1047) | FL | 4 | -1.0
(0027, 1048) | FL | 4 | -180.53579711914062
(0027, 1049) | FL | 4 | 179.03579711914062
(0027, 104a) | FL | 4 | -75.69999694824219
(0027, 104b) | FL | 4 | -180.53579711914062
(0027, 104c) | FL | 4 | -159.63580322265625
(0027, 104d) | FL | 4 | -75.69999694824219
(0027, 1050) | FL | 4 | -63.19999694824219
(0027, 1051) | FL | 4 | -116.20304870605469
(0027, 1052) | SH | 2 | L
(0027, 1053) | SH | 2 | A
(0027, 1054) | SH | 2 | I
(0027, 1055) | SH | 2 | I
(0028, 0002) | US | 2 | 1
(0028, 0004) | CS | 12 | MONOCHROME2
(0028, 0010) | US | 2 | 128
(0028, 0011) | US | 2 | 128
(0028, 0030) | DS | 18 | [0.661468, 0.661468]
(0028, 0100) | US | 2 | 16
(0028, 0101) | US | 2 | 16
(0028, 0102) | US | 2 | 15
(0028, 0103) | US | 2 | 1
(0028, 0120) | SS | 2 | -2000
(0028, 1052) | DS | 6 | -1024
(0028, 1053) | DS | 2 | 1
(0029, 0010) | LO | 12 | GEMS_IMPS_01
(0029, 1004) | SL | 4 | 0
(0029, 1005) | DS | 8 | 0.000000
(0029, 1006) | DS | 8 | 0.000000
(0029, 1007) | SL | 4 | 87
(0029, 1008) | SH | 0 | 
(0029, 1009) | SH | 0 | 
(0029, 100a) | SS | 2 | 764
(0029, 1026) | SS | 2 | 2
(0029, 1034) | SL | 4 | 0
(0029, 1035) | SL | 4 | 0
(0043, 0010) | LO | 12 | GEMS_PARM_01
(0043, 1010) | US | 2 | 400
(0043, 1011) | US | 2 | 10431
(0043, 1012) | SS | 6 | [14, 2, 3]
(0043, 1013) | SS | 10 | [107, 21, 4, 2, 20]
(0043, 1014) | SS | 6 | [4, 4, 5]
(0043, 1015) | SS | 2 | 10431
(0043, 1016) | SS | 2 | 0
(0043, 1017) | DS | 8 | 0.095000
(0043, 1018) | DS | 26 | [0.085000, 1.102000, 0.095000]
(0043, 1019) | SS | 2 | 350
(0043, 101a) | SL | 4 | 7
(0043, 101b) | SS | 10 | [0, 0, 0, 0, 0]
(0043, 101c) | SS | 2 | 0
(0043, 101d) | SS | 2 | 40
(0043, 101e) | DS | 8 | 2.000000
(0043, 101f) | SL | 4 | 0
(0043, 1020) | DS | 8 | 0.000000
(0043, 1021) | SS | 2 | 0
(0043, 1025) | SS | 12 | [1, 2, 3, 748, 749, 750]
(0043, 1026) | US | 12 | [0, 1, 1, 0, 0, 0]
(0043, 1027) | SH | 6 | /1.0:1
(0043, 1028) | OB | 80 | Unknown | <Large value not displayed>
(0043, 1029) | OB | 2068 | Unknown | <Large value not displayed>
(0043, 102a) | OB | 40 | b'CT01\x00\x00\x00HiSpeed CT/i\x000505z:=|\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
(0043, 102b) | SS | 8 | [4, 4, 0, 0]
(0043, 1031) | DS | 20 | [-11.200000, 9.700000]
(0043, 1040) | FL | 4 | 178.07992553710938
(0043, 1041) | FL | 4 | 3816.219482421875
(0043, 1042) | SL | 4 | 0
(0043, 1043) | SL | 4 | 0
(0043, 1044) | SL | 4 | 1
(0043, 1045) | SL | 4 | 1
(0043, 1046) | SL | 4 | 3
